id,location
1,Jhapa
2,Ilam
3,Panchthar
4,Taplejung
5,Morang
6,Sunsari
7,Bhojpur
8,Dhankuta
9,Tehrathum
10,Sankhuwasabha
11,Saptari
12,Siraha
13,Udayapur
14,Khotang
15,Okhaldhunga
16,Solukhumbu
17,Dhanusa
18,Mahottari
19,Sarlahi
20,Sindhuli
21,Ramechhap
22,Dolakha
23,Bhaktapur
24,Dhading
25,Kathmandu
26,Kavrepalanchowk
27,Lalitpur
28,Nuwakot
29,Rasuwa
30,Sindhupalchok
31,Bara
32,Parsa
33,Rautahat
34,Chitwan
35,Makwanpur
36,Gorkha
37,Kaski
38,Lamjung
39,Syangja
40,Tanahu
41,Manang
42,Kapilvastu
43,Nawalpur
44,Parasi
45,Rupandehi
46,Arghakhanchi
47,Gulmi
48,Palpa
49,Baglung
50,Myagdi
51,Parbat
52,Mustang
53,Dang
54,Pyuthan
55,Rolpa
56,Eastern Rukum
57,Western Rukum
58,Salyan
59,Dolpa
60,Humla
61,Jumla
62,Kalikot
63,Mugu
64,Banke
65,Bardiya
66,Surkhet
67,Dailekh
68,Jajarkot
69,Kailali
70,Achham
71,Doti
72,Bajhang
73,Bajura
74,Kanchanpur
75,Dadeldhura
76,Baitadi
77,Darchula
